,player_name,B,S,batter_team
293,Jordan Walker-STL,26.0,14.0,STL
294,Jordan Westburg-BAL,12.0,8.0,BAL
295,Jorge Alfaro-BOS,0.0,1.0,BOS
296,Jorge Alfaro-COL,2.0,2.0,COL
297,Jorge Mateo-BAL,25.0,6.0,BAL
298,Jorge Polanco-MIN,18.0,7.0,MIN
299,Jorge Soler-MIA,47.0,23.0,MIA
300,Jose Abreu-HOU,34.0,27.0,HOU
301,Jose Altuve-HOU,24.0,16.0,HOU
302,Jose Azocar-SD,4.0,1.0,SD
303,Jose Barrero-CIN,13.0,8.0,CIN
304,Jose Caballero-SEA,20.0,14.0,SEA
305,Jose Herrera-AZ,13.0,5.0,AZ
306,Jose Miranda-MIN,14.0,8.0,MIN
307,Jose Ramirez-CLE,33.0,31.0,CLE
308,Jose Siri-TB,27.0,15.0,TB
309,Jose Trevino-NYY,16.0,9.0,NYY
310,Josh Bell-CLE,28.0,26.0,CLE
311,Josh Bell-MIA,3.0,3.0,MIA
312,Josh Donaldson-NYY,13.0,9.0,NYY
313,Josh H. Smith-TEX,18.0,9.0,TEX
314,Josh Harrison-PHI,2.0,9.0,PHI
315,Josh Jung-TEX,53.0,21.0,TEX
316,Josh Lowe-TB,30.0,26.0,TB
317,Josh Naylor-CLE,8.0,18.0,CLE
318,Josh Rojas-AZ,24.0,16.0,AZ
319,Josh Rojas-SEA,0.0,2.0,SEA
320,Juan Soto-SD,46.0,47.0,SD
321,Juan Yepez-STL,0.0,4.0,STL
322,Julio Rodriguez-SEA,24.0,36.0,SEA
323,Jurickson Profar-COL,24.0,37.0,COL
324,Justin Turner-BOS,36.0,39.0,BOS
325,Ke'Bryan Hayes-PIT,38.0,17.0,PIT
326,Keibert Ruiz-WSH,27.0,23.0,WSH
327,Kerry Carpenter-DET,18.0,10.0,DET
328,Ketel Marte-AZ,45.0,51.0,AZ
329,Kevin Kiermaier-TOR,25.0,17.0,TOR
330,Kevin Newman-CIN,21.0,11.0,CIN
331,Kevin Pillar-ATL,8.0,7.0,ATL
332,Kevin Smith-OAK,7.0,2.0,OAK
333,Kody Clemens-PHI,11.0,7.0,PHI
