,player_name,B,S,ball,called_strike,missed_call_dre_B,missed_call_dre_S,batter_team
180,Ezequiel Duran-TEX,18.0,13.0,403.0,180.0,-1.8750000000000002,1.2309999999999999,TEX
181,Ezequiel Tovar-COL,34.0,7.0,460.0,187.0,-3.567000000000001,1.1520000000000001,COL
182,Fernando Tatis Jr.-SD,27.0,32.0,533.0,136.0,-2.6330000000000005,4.3740000000000006,SD
183,Forrest Wall-ATL,1.0,0.0,4.0,5.0,-0.14800000000000002,0.0,ATL
184,Franchy Cordero-NYY,4.0,3.0,76.0,44.0,-0.324,0.266,NYY
185,Francisco Alvarez-NYM,25.0,17.0,424.0,196.0,-4.565000000000001,2.366,NYM
186,Francisco Lindor-NYM,43.0,29.0,707.0,309.0,-4.983,5.564999999999999,NYM
187,Francisco Mejia-TB,12.0,8.0,133.0,84.0,-1.2269999999999999,1.0150000000000001,TB
188,Franmil Reyes-KC,9.0,2.0,95.0,46.0,-1.99,0.259,KC
189,Freddie Freeman-LAD,32.0,42.0,720.0,246.0,-3.479,4.4060000000000015,LAD
190,Gabriel Arias-CLE,12.0,11.0,285.0,106.0,-1.986,1.151,CLE
191,Gabriel Moreno-AZ,27.0,24.0,338.0,218.0,-3.0440000000000005,2.5180000000000002,AZ
192,Garrett Cooper-MIA,15.0,19.0,389.0,196.0,-1.6889999999999998,2.8720000000000003,MIA
193,Garrett Cooper-SD,1.0,2.0,22.0,10.0,-0.111,0.182,SD
194,Garrett Hampson-MIA,10.0,16.0,199.0,120.0,-1.931,2.385,MIA
195,Garrett Mitchell-MIL,10.0,5.0,80.0,45.0,-1.336,0.647,MIL
196,Garrett Stubbs-PHI,9.0,6.0,111.0,58.0,-0.774,0.9840000000000001,PHI
197,Gary Sanchez-NYM,1.0,0.0,8.0,10.0,-0.092,0.0,NYM
198,Gary Sanchez-SD,28.0,15.0,307.0,187.0,-4.26,2.729,SD
199,Gavin Sheets-CWS,22.0,16.0,361.0,152.0,-3.077,2.652,CWS
200,George Springer-TOR,40.0,35.0,631.0,261.0,-5.4190000000000005,3.4799999999999995,TOR
201,Geraldo Perdomo-AZ,31.0,29.0,572.0,317.0,-4.381,3.3629999999999995,AZ
202,Giancarlo Stanton-NYY,27.0,30.0,419.0,212.0,-3.5530000000000004,5.188999999999999,NYY
203,Giovanny Urshela-LAA,19.0,13.0,263.0,118.0,-1.704,1.976,LAA
204,Gleyber Torres-NYY,46.0,33.0,679.0,305.0,-4.852000000000002,5.667000000000002,NYY
205,Greg Allen-NYY,2.0,1.0,27.0,14.0,-0.12000000000000001,0.14800000000000002,NYY
206,Gunnar Henderson-BAL,41.0,51.0,599.0,298.0,-4.854000000000001,11.676,BAL
207,Ha-seong Kim-SD,51.0,61.0,738.0,476.0,-6.600999999999999,7.458999999999999,SD
208,Hanser Alberto-CWS,1.0,1.0,65.0,20.0,-0.044000000000000004,0.111,CWS
209,Harold Castro-COL,10.0,7.0,239.0,121.0,-0.896,0.5960000000000001,COL
210,Harold Ramirez-TB,24.0,20.0,339.0,156.0,-3.085,1.5960000000000003,TB
211,Harrison Bader-NYY,22.0,18.0,288.0,161.0,-2.413,2.7079999999999997,NYY
212,Heliot Ramos-SF,2.0,3.0,40.0,24.0,-0.24,0.29600000000000004,SF
213,Henry Davis-PIT,17.0,10.0,276.0,134.0,-1.7679999999999998,1.339,PIT
214,Hunter Dozier-KC,6.0,1.0,120.0,51.0,-0.45000000000000007,0.07500000000000001,KC
215,Hunter Renfroe-LAA,42.0,27.0,539.0,251.0,-7.290000000000002,3.9139999999999997,LAA
216,Ian Happ-CHC,36.0,52.0,820.0,324.0,-7.3709999999999996,8.589000000000002,CHC
217,Ildemaro Vargas-WSH,10.0,13.0,166.0,110.0,-0.659,1.278,WSH
218,Isaac Paredes-TB,54.0,24.0,580.0,289.0,-6.487,3.955999999999999,TB
